name,kind,category
"アーチスト錠","brand_product","腎不全"
"アザチオプリン","generic_ingredient","腎移植"
"アザニン錠","brand_product","腎移植"
"アジルサルタン","generic_ingredient","腎不全"
"アジルサルタン錠／OD錠","generic_product","腎不全"
"アジルバ錠／OD錠","brand_product","腎不全"
"アゾセミド","generic_ingredient","腎不全"
"アゾセミド錠","generic_product","腎不全"
"アダラートCR錠","brand_product","腎不全"
"アダラートCR錠／カプセル","brand_product","腎不全"
"アテレック錠","brand_product","腎不全"
"アバプロ錠","brand_product","腎不全"
"アバプロ錠／イルベタン錠","brand_product","腎不全"
"アムロジピンベシル酸塩","generic_ingredient","腎不全"
"アムロジピン錠／OD錠","generic_product","腎不全"
"アムロジン錠／OD錠","brand_product","腎不全"
"アルガトロバン水和物","generic_ingredient","腎不全"
"アルガトロバン注射液","generic_product","腎不全"
"アルダクトンA錠","brand_product","腎不全"
"アルダクトンA錠／細粒","brand_product","腎不全"
"アルファカルシドール","generic_ingredient","腎不全"
"アルファカルシドールカプセル／錠","generic_product","腎不全"
"アルファロールカプセル／ワンアルファ錠","brand_product","腎不全"
"アルファロールカプセル／内用液／散","brand_product","腎不全"
"アロプリノール","generic_ingredient","腎不全"
"アロプリノール錠","generic_product","腎不全"
"イスコチン錠／原末","brand_product","腎移植"
"イソニアジド","generic_ingredient","腎移植"
"イミダプリル塩酸塩","generic_ingredient","腎不全"
"イミダプリル塩酸塩錠","generic_product","腎不全"
"イムラン錠","brand_product","腎移植"
"イムラン錠／アザニン錠","brand_product","腎移植"
"イルベサルタン","generic_ingredient","腎不全"
"イルベサルタン錠","generic_product","腎不全"
"イルベタン錠","brand_product","腎不全"
"インダパミド","generic_ingredient","腎不全"
"ウパシカルセトナトリウム水和物","generic_ingredient","腎不全"
"ウパシタ静注透析用","brand_product","腎不全"
"ウリアデック錠","brand_product","腎不全"
"エースコール錠","brand_product","腎不全"
"エサキセレノン","generic_ingredient","腎不全"
"エスポー注射液／皮下用","brand_product","腎不全"
"エテルカルセチド塩酸塩","generic_ingredient","腎不全"
"エナラプリルマレイン酸塩","generic_ingredient","腎不全"
"エナラプリルマレイン酸塩錠","generic_product","腎不全"
"エナロイ錠","brand_product","腎不全"
"エナロデュスタット","generic_ingredient","腎不全"
"エプレレノン","generic_ingredient","腎不全"
"エプレレノン錠","generic_product","腎不全"
"エベレンゾ錠","brand_product","腎不全"
"エベロリムス","generic_ingredient","腎移植"
"エポエチン アルファ（遺伝子組換え）","generic_ingredient","腎不全"
"エポエチン ベータ ペゴル（遺伝子組換え）","generic_ingredient","腎不全"
"エポエチン ベータ（遺伝子組換え）","generic_ingredient","腎不全"
"エポエチンアルファBS注","generic_product","腎不全"
"エボカルセト","generic_ingredient","腎不全"
"エポジン注","brand_product","腎不全"
"エルカルチンFF錠／内用液／静注","brand_product","腎不全"
"エンテカビル錠／OD錠","generic_product","腎移植"
"エンテカビル水和物","generic_ingredient","腎移植"
"エンパグリフロジン","generic_ingredient","腎不全"
"エンレスト錠","brand_product","腎不全"
"オキサロール注","brand_product","腎不全"
"オキサロール軟膏・ローション（乾癬用）","brand_product","腎不全"
"オルケディア錠","brand_product","腎不全"
"オルメサルタン メドキソミル","generic_ingredient","腎不全"
"オルメサルタン錠／OD錠","generic_product","腎不全"
"オルメテックOD錠","brand_product","腎不全"
"カナグリフロジン水和物","generic_ingredient","腎不全"
"カナグル錠","brand_product","腎不全"
"カリエード散／プラス","generic_product","腎不全"
"カリメート散／経口液／ドライシロップ","brand_product","腎不全"
"カルシトリオール","generic_ingredient","腎不全"
"カルシトリオールカプセル 等","generic_product","腎不全"
"カルタン錠／OD錠／細粒","brand_product","腎不全"
"カルチコール注射液","brand_product","腎不全"
"カルデナリン錠／OD錠","brand_product","腎不全"
"カルベジロール","generic_ingredient","腎不全"
"カルベジロール錠","generic_product","腎不全"
"カルボキシマルトース第二鉄","generic_ingredient","腎不全"
"ガンシクロビル","generic_ingredient","腎移植"
